Name,Gender,Surnames,Hobby,Sub_Category,Category,Cities,Regions,Hobbies
Angelina,F,Mcdougall,Astrology,Intellectual,Intellectual,Beeston,East Midlands,"Dancing is one of my favorite forms of exercise, it's a great way to let loose and have fun while getting in a good workout."
Angeline,F,Inglis,Church,Intellectual,Intellectual,Dunfermline,Scotland,"I enjoy practicing yoga, it helps me relax and stay centered in the midst of a busy day."
Angelo,F,Richardson,Meditation,Intellectual,Intellectual,Willenhall,West Midlands,"Traveling to new places is one of my greatest joys, there's so much to learn and discover in this amazing world we live in."
Angharad,F,Stephen,Microscopy,Intellectual,Intellectual,Folkestone,South East,Cooking dinner is one of my favorite ways to unwind after a long day at work.
Angus,F,Sharp,People Watching,Intellectual,Intellectual,Smethwick,West Midlands,"I love to read books on the beach, especially in the summertime."
Anice,F,Mackinnon,Protesting,Intellectual,Intellectual,Esher,South East,Traveling to new places and experiencing different cultures is one of my greatest passions in life.
Anie,F,Mcallister,Socializing,Intellectual,Intellectual,Sittingbourne,South East,Hiking in the mountains is something I enjoy doing with my friends on the weekends.
Anis,F,Gillies,Beatboxing,Music,Music,Wellingborough,East Midlands,I find great joy in playing board games with my family on lazy Sunday afternoons.
Anisa,F,Laird,Bell Ringing,Music,Music,Bootle,North West,Attending live music concerts is one of my favorite things to do on a Friday night.
Anise,F,Rodger,Compose Music,Music,Music,Durham,North East,Baking sweet treats for my loved ones is something I love to do on weekends.
Anisha,F,Greig,Guitar,Music,Music,Welwyn Garden City,East,I enjoy writing poetry as a way to express my feelings and emotions.
Anita,F,Laing,Learning An Instrument,Music,Music,Bloxwich,West Midlands,Swimming laps in the pool is one of my favorite forms of exercise.
Ann,F,Morton,Listening to music,Music,Music,Neath,Wales,Painting landscapes with watercolors is one of my favorite hobbies.
Anna,F,Sweeney,Musical Instruments,Music,Music,Cumbernauld,Scotland,I love to play soccer with my friends in the park on sunny days.
Annabel,F,Adam,Piano,Music,Music,Kingswinford,West Midlands,Going on picnics with my family is something I look forward to every summer.
Annabella,F,Montgomery,Playing music,Music,Music,Lancaster,North West,Watching classic movies with my grandparents is a cherished pastime of mine.
Annabelle,F,Morris,Rapping,Music,Music,Shoreham-by-Sea,South East,I find great satisfaction in practicing yoga every morning to start my day off on the right foot.
Annalise,F,Todd,Singing In Choir,Music,Music,Torquay,South West,I enjoy attending art museums and galleries to appreciate and learn about different art styles.
Anna-marie,F,Cassidy,Violin,Music,Music,Horsham,South East,Going for a scenic drive along the coast is something I love to do on a nice day.
Annas,F,Robb,Aircraft Spotting,Watching Activites,Outdoors,Carlton,East Midlands,Knitting blankets and scarves for my loved ones is a relaxing hobby I enjoy.
Anne,F,Stirling,Airsofting,Shooting,Outdoors,Kirkcaldy,Scotland,"I love to take my dog for long walks in the countryside, especially during the springtime."
Annemarie,F,Webster,Amateur Astronomy,Sky Activities,Outdoors,Crosby,North West,Playing video games with my siblings is one of my favorite ways to bond with them.
Anne-marie,F,Stuart,Astronomy,Sky Activities,Outdoors,Kings Lynn,East,Reading inspiring quotes and affirmations is something I do to motivate myself every day.
Annetta,F,Kane,Sun tanning,Water & Beach Activities,Outdoors,Horndean,South East,Doing puzzles is a relaxing and enjoyable activity for me.
Annette,F,Mckenna,Beachcombing,Water & Beach Activities,Outdoors,Hinckley,East Midlands,I love to go fishing with my dad and grandpa on our family's lake house.
Annice,F,Falconer,Bird watching,Watching Activites,Outdoors,Swadlincote,East Midlands,I find great fulfillment in volunteering at my local animal shelter.
Annie,F,Gibb,Birding,Birds,Outdoors,Winchester,South East,Spending quality time with my family and close friends is something I prioritize in my life.
Annis,F,Mcneill,Boating,Water & Beach Activities,Outdoors,Bridgend,Wales,I enjoy gardening and growing my own fruits and vegetables.
Annita,F,Turnbull,Bonsai Tree,Outdoors,Outdoors,Yeovil,South West,Going to the beach and watching the sunset is a peaceful activity I enjoy doing alone.
Annmarie,F,Houston,Boomerangs,Outdoors,Outdoors,Sutton-in-Ashfield,East Midlands,I love to play the piano as a creative outlet and form of self-expression.
Ann-marie,F,Harvey,Butterfly Watching,Watching Activites,Outdoors,West Bridgford,East Midlands,Watching the stars at night and identifying constellations is a favorite pastime of mine.
Annwen,F,Downie,Camping,Outdoors,Outdoors,Perth,Scotland,I enjoy trying out new recipes and cooking styles in the kitchen.
Anona,F,Cochrane,Canoeing,Water & Beach Activities,Outdoors,Havant,South East,Spending time in nature and going on hikes is something that recharges me.
Anson,F,Little,Cave Diving,Water & Beach Activities,Outdoors,Inverness,Scotland,I love to explore new cities and find hidden gems in local neighborhoods.
Anthea,F,Mcarthur,Cloud Watching,Watching Activites,Outdoors,Ashton-under-Lyne,North West,Taking photos and capturing memories is a hobby that brings me joy.
Anthony,F,Pollock,Contact Juggling,Outdoors,Outdoors,Banbury,South East,I enjoy going to the theater and watching live performances.
Antoinette,F,Macmillan,Dumpster Diving,Outdoors,Outdoors,Cwmbran,Wales,Going to amusement parks and riding rollercoasters is something I love to do with my friends.
Anton,F,Orr,Falconry,Birds,Outdoors,Cheshunt,East,Watching documentaries and learning about different cultures and historical events is something I find interesting.
Antoni,F,Steele,Fast cars,Cars,Outdoors,Northwich,North West,I love to practice calligraphy and hand lettering as a way to express my creativity.
Antonia,F,Harris,Fishing,Water & Beach Activities,Outdoors,Ayr,Scotland,Binge-watching my favorite TV shows on lazy weekends is something I look forward to.
Antonio,F,Lynch,Fly Fishing,Water & Beach Activities,Outdoors,Kilmarnock,Scotland,Doing DIY projects and repurposing old items is a hobby that challenges my creativity.
Antony,F,Dunlop,Fly Tying,Outdoors,Outdoors,Wokingham,South East,I enjoy playing basketball with my coworkers during our lunch break.
Anwar,F,Low,Four Wheeling,Outdoors,Outdoors,Salisbury,South West,Going on road trips and exploring different cities is something I find exciting.
Anwen,F,Mcmahon,Garage Saleing,Outdoors,Outdoors,Andover,South East,I love to take bubble baths and relax with a good book.
Anya,F,Nicholson,Gardening,Outdoors,Outdoors,Lisburn,Northern Ireland,My favorite hobby is cooking and I'm looking for someone to join me in trying new recipes.
Aoife,F,Allison,Geocaching,Outdoors,Outdoors,Boston,East Midlands,I love hiking and I'm searching for a hiking partner to explore new trails with.
April,F,Mccann,Ghost Hunting,Outdoors,Outdoors,Hatfield,East,Reading is my passion and I'm hoping to find someone who shares my love for books.
Aquila,F,Sneddon,Gnoming,Outdoors,Outdoors,Llanelli,Wales,I enjoy playing board games and I'm seeking a game night group to join.
Aquilla,F,Galloway,Grip Strength,Fitness,Outdoors,Merthyr Tydfil,Wales,I'm an avid photographer and I'm looking for someone to go on photo walks with.
Arabella,F,Carr,Hiking,Outdoors,Outdoors,Wallsend,North East,I like playing basketball and I'm hoping to find a regular pick-up game to join.
Archer,F,Cumming,Hot air ballooning,Sky Activities,Outdoors,Tipton,West Midlands,I'm a big music fan and I'm searching for someone to attend concerts with.
Archibald,F,Gardner,Hula Hooping,Fitness,Outdoors,Grantham,East Midlands,I enjoy painting and I'm looking for a painting buddy to create art with.
Archie,F,Cowie,Hunting,Shooting,Outdoors,Dover,South East,I love gardening and I'm hoping to find someone to swap plant cuttings with.
Arfon,F,Johnson,Ice Fishing,Water & Beach Activities,Outdoors,Barrow-in-Furness,North West,I'm interested in astronomy and I'm searching for a stargazing partner to marvel at the night sky with.
Arif,F,Leslie,Juggling,Outdoors,Outdoors,Bexhill-on-Sea,South East,I enjoy yoga and I'm looking for a yoga class to join.
Arlene,F,Robinson,Jump Roping,Fitness,Outdoors,Lytham St Annes,North West,I'm into video games and I'm hoping to find a group to play with online.
Arline,F,Forrest,Kayaking,Water & Beach Activities,Outdoors,Bridgwater,South West,I love to dance and I'm searching for a dance partner to practice with.
Armitage,F,Hardie,Kites,Sky Activities,Outdoors,Middleton,North West,I enjoy practicing martial arts and I'm looking for a sparring partner to train with.
Arnold,F,Lee,Letterboxing,Outdoors,Outdoors,Coatbridge,Scotland,I'm interested in learning a new language and I'm hoping to find a conversation partner to practice with.
Aron,F,Milligan,Marksmanship,Shooting,Outdoors,Hoddesdon,East,I enjoy woodworking and I'm searching for someone to share techniques with.
Arran,F,Obrien,Metal Detecting,Outdoors,Outdoors,Braintree,East,I love to travel and I'm looking for a travel buddy to explore new places with.
Arron,F,Rankin,Mountain Biking,Mountain Activities,Outdoors,Fareham,South East,I'm into rock climbing and I'm hoping to find a climbing partner to conquer new routes with.
Arther,F,Noble,Mountain Climbing,Mountain Activities,Outdoors,Trowbridge,South West,I enjoy bird watching and I'm searching for someone to go on birding walks with.
Arthur,F,Knox,Owning An Antique Car,Cars,Outdoors,Worksop,East Midlands,I'm a big foodie and I'm looking for someone to go on culinary adventures with.
Arwel,F,Mullen,Paintball,Shooting,Outdoors,Kirkby,North West,I love to play tennis and I'm hoping to find a tennis partner to practice with.
Arwyn,F,Urquhart,Planking,Fitness,Outdoors,Jarrow,North East,I'm into meditation and I'm searching for a meditation group to join.
Asa,F,Baillie,Pyrotechnics,Outdoors,Outdoors,Greenock,Scotland,I enjoy running and I'm looking for a running partner to train for races with.
Asad,F,Harrison,Racing Pigeons,Birds,Outdoors,Ramsgate,South East,I'm interested in film and I'm hoping to find someone to watch and discuss movies with.
Asenath,F,Bennett,Rafting,Water & Beach Activities,Outdoors,Urmston,North West,I love to write and I'm searching for a writing group to share work with.
Asha,F,Law,Rock Balancing,Outdoors,Outdoors,Castleford,Yorkshire Humber,I enjoy knitting and I'm looking for a knitting circle to join.
Asher,F,Devine,Rock Climbing,Outdoors,Outdoors,Bury St Edmunds,East,I'm into fashion and I'm hoping to find someone to go shopping with.
Ashlea,F,Hannah,Rockets,Outdoors,Outdoors,Caerphilly,Wales,I love to camp and I'm searching for a camping group to join.
Ashlee,F,Moir,Sailing,Water & Beach Activities,Outdoors,Newbury,South East,I'm interested in history and I'm looking for someone to visit historical sites with.
Ashleigh,F,Burnett,Sand Castles,Water & Beach Activities,Outdoors,Leighton Buzzard,East,I enjoy playing golf and I'm hoping to find a golf partner to play with.
Ashley,F,Mcghee,Self Defense,Outdoors,Outdoors,Fleet,South East,"I enjoy playing video games in my free time, and I'm looking for someone who shares my passion."
Ashton,F,Doherty,Shark Diving,Water & Beach Activities,Outdoors,Tonbridge,South East,"My favorite hobby is cooking, and I'm hoping to find a friend who loves trying new recipes as much as I do."
Ashworth,F,Macrae,Shark Fishing,Water & Beach Activities,Outdoors,Eccles,North West,"I love hiking and spending time outdoors, and I'm searching for a hiking partner who can keep up with me."
Asia,F,Mccormack,Skeet Shooting,Shooting,Outdoors,Great Yarmouth,East,"One of my favorite things to do is read, and I'm looking for a book club to join or a friend to discuss books with."
Asif,F,Smart,Skiing,Winter Activites,Outdoors,Herne Bay,South East,"I'm really into yoga and meditation, and I'd love to find a workout buddy who enjoys those activities as well."
Asim,F,Adamson,Slack Lining,Outdoors,Outdoors,Bishops Stortford,East,"I'm an avid traveler and always looking for new adventures, so I'm seeking a companion who shares my wanderlust."
Asma,F,Gilchrist,Slingshots,Shooting,Outdoors,Leyland,North West,I'm passionate about photography and would love to find someone to go on photo walks with.
Aston,F,Maclennan,Snorkeling,Water & Beach Activities,Outdoors,Ilkeston,East Midlands,"I enjoy attending live music events and concerts, and I'm looking for someone to accompany me to shows."
Astrid,F,Lamb,Snow Skiing,Winter Activites,Outdoors,Camberley,South East,"I love playing board games and tabletop RPGs, and I'm searching for a group or friend who enjoys those hobbies too."
Atherton,F,Malcolm,Storm Chasing,Outdoors,Outdoors,Abingdon-on-Thames,South East,"I'm a movie buff and enjoy watching films of all genres, and I'm hoping to find someone who shares my cinematic interests."
Athol,F,Clarke,Surf Fishing,Water & Beach Activities,Outdoors,Arnold,East Midlands,"I'm into fitness and working out, and I'm seeking a gym partner who can help motivate me and vice versa."
Atkinson,F,Fisher,Survival,Outdoors,Outdoors,Newark-on-Trent,East Midlands,"I enjoy going to museums and art exhibits, and I'm looking for a friend who appreciates art and culture as much as I do."
Aubrey,F,Mcgill,Swimming,Water & Beach Activities,Outdoors,Long Eaton,East Midlands,"I'm a big sports fan and enjoy watching and playing various sports, and I'm hoping to find someone who shares my enthusiasm for athletics."
Audra,F,Evans,Train Spotting,Watching Activites,Outdoors,Aldridge,West Midlands,"I love attending food festivals and trying new cuisines, and I'm seeking a foodie friend who enjoys exploring the culinary world."
Audrey,F,Geddes,Traveling,Outdoors,Outdoors,Bletchley,South East,"I'm interested in learning new languages and cultures, and I'm hoping to find a language exchange partner or someone to travel with."
August,F,Grieve,Treasure Hunting,Outdoors,Outdoors,Cleethorpes,Yorkshire Humber,
Augusta,F,Gunn,Urban Exploration,Outdoors,Outdoors,Blyth,North East,
Augustin,F,Love,Walking,Outdoors,Outdoors,Canvey Island,East,
Augustine,F,Connelly,Watching Sporting Events,Watching Activites,Outdoors,Chorley,North West,
Augustus,F,Main,Water Ski,Water & Beach Activities,Outdoors,Glenrothes,Scotland,
Aurelia,F,Shields,Working On Cars,Cars,Outdoors,Prescot,North West,
Auriol,F,Calder,World Record Breaking,Outdoors,Outdoors,Great Malvern,West Midlands,
Aurora,F,Lang,Ziplining,Sky Activities,Outdoors,Port Talbot,Wales,
Austen,F,Nisbet,Acting,Performing Arts,Performing Arts,Longbenton,North East,
Austin,F,Wilkie,Fire Poi,Performing Arts,Performing Arts,Haywards Heath,South East,
Autumn,F,Coyle,Glowsticking,Performing Arts,Performing Arts,Stirling,Scotland,
Ava,F,Mair,Going to movies,Performing Arts,Performing Arts,Chester-le-Street,North East,
Averil,F,Mcinnes,Illusion,Performing Arts,Performing Arts,Woodley,South East,
Avice,F,Neil,Impersonations,Performing Arts,Performing Arts,Redcar,North East,
Avis,F,Pearson,Magic,Performing Arts,Performing Arts,Borehamwood,East,
Avril,F,Porter,Puppetry,Performing Arts,Performing Arts,Airdrie,Scotland,
Ayesha,F,Kirk,Renaissance Faire,Performing Arts,Performing Arts,Wilmslow,North West,
Aysha,F,Carmichael,Roleplaying,Performing Arts,Performing Arts,Redhill,South East,
Azariah,F,Livingstone,Storytelling,Performing Arts,Performing Arts,Whitley Bay,North East,
Azra,F,Macgregor,Pets,Pets,Pets,Accrington,North West,
Baden,F,Patterson,Ant Farm,Pets,Pets,Hitchin,East,
Bailey,F,Harper,Aquariums,Aquariums,Pets,Coalville,East Midlands,
Baljit,F,Sim,Freshwater Aquariums,Aquariums,Pets,Denton,North West,
Bannister,F,Beaton,Herping,Pets,Pets,Wath-upon-Dearne,Yorkshire Humber,
Barbara,F,Edwards,Rescuing Abused Or Abandoned Animals,Pets,Pets,Chippenham,South West,
Barbra,F,Steel,Saltwater Aquariums,Aquariums,Pets,Chadderton,North West,
Barker,F,Thomas,Becoming A Child Advocate,Philantropy,Philantropy,Falkirk,Scotland,
Barnabas,F,Coutts,Bringing Food To The Disabled,Philantropy,Philantropy,Exmouth,South West,
Barnaby,F,Shepherd,Building A House For Habitat For Humanity,Philantropy,Philantropy,Fulwood,North West,
Barnard,F,Bryce,Reading To The Elderly,Philantropy,Philantropy,Rowley Regis,West Midlands,
Barnet,F,Mclellan,Rocking AIDS Babies,Philantropy,Philantropy,Hyde,North West,
Barnett,F,Phillips,Tutoring Children,Philantropy,Philantropy,Bromsgrove,West Midlands,
Barney,F,Devlin,Volunteer,Philantropy,Philantropy,Romiley,North West,
Baron,F,Mason,Working In A Food Pantry,Philantropy,Philantropy,Spalding,East Midlands,
Barrett,F,Caldwell,R/C Boats,RC Hobbies,RC Hobbies,Bridlington,Yorkshire Humber,
Barrie,F,Dawson,R/C Cars,RC Hobbies,RC Hobbies,Hucknall,East Midlands,
Barrington,F,Hart,R/C Helicopters,RC Hobbies,RC Hobbies,Billericay,East,
Barry,F,Parker,R/C Planes,RC Hobbies,RC Hobbies,Skelmersdale,North West,
Bartholomew,F,Lamont,Slot Car Racing,RC Hobbies,RC Hobbies,Epsom,South East,
Bartley,F,Mathieson,Acrobatics,Fitness,Sports,Billingham,North East,
Barton,F,Menzies,Acroyoga,Fitness,Sports,Wickford,East,
Basil,F,Shearer,Archery,Sports,Sports,Letchworth Garden City,East,
Bathsheba,F,Gardiner,Badminton,Ball Sports,Sports,Wisbech,East,
Baxter,F,Cruickshank,Baseball,Ball Sports,Sports,Stroud,South West,
Beatrice,F,Hutton,Basketball,Ball Sports,Sports,Irvine,Scotland,
Beatrix,F,Davies,Bicycle Polo,Biking,Sports,Pudsey,Yorkshire Humber,
Beau,F,Brady,Body Building,Fitness,Sports,Brighouse,Yorkshire Humber,
Beaumont,F,Gourlay,Bowling,Ball Sports,Sports,Lichfield,West Midlands,
Beckett,F,Henry,Boxing,Combat Sports,Sports,Whitstable,South East,
Becky,F,Mills,Cardio Workout,Fitness,Sports,Morecambe,North West,
Bedelia,F,Petrie,Cheerleading,Sports,Sports,Dumfries,Scotland,
Belinda,F,Swan,Cycling,Biking,Sports,Glossop,East Midlands,
Bell,F,Bradley,Diving,Water Sports,Sports,Dunstable,East,
Bella,F,Doyle,Dodgeball,Ball Sports,Sports,Leatherhead,South East,
Belle,F,Wylie,Exercise,Fitness,Sports,St Neots,East,
Ben,F,Halliday,Fencing,Sports,Sports,Bicester,South East,
Benedict,F,Leitch,Floorball,Ball Sports,Sports,Warwick,West Midlands,
Benita,F,Mcphee,Fly Hunting,Sports,Sports,Loughton,East,
Benjamin,F,Archibald,Football,Ball Sports,Sports,Motherwell,Scotland,
Benn,F,Brodie,Frisbee Golf – Frolf,Sports,Sports,Bilston,West Midlands,
Bennet,F,Mccormick,Golf,Ball Sports,Sports,Windsor,South East,
Bennett,F,Mckinlay,Gymnastics,Fitness,Sports,Barnstaple,South West,
Benny,F,Holmes,Horseback Riding,Sports,Sports,Rushden,East Midlands,
Benson,F,Neilson,Ice Skating,Sports,Sports,Burgess Hill,South East,
Bentley,F,Kay,Inline Skating,Sports,Sports,Chichester,South East,
Berenice,F,Mccabe,Lacrosse,Ball Sports,Sports,Brierley Hill,West Midlands,
Beresford,F,Mclachlan,Locksport,Sports,Sports,Deal,South East,
Bernadette,F,Dewar,Martial Arts,Martial Arts,Sports,Sevenoaks,South East,
Bernadine,F,Speirs,Pilates,Fitness,Sports,Sedgley,West Midlands,
Bernard,F,Woods,Playing team sports,Sports,Sports,Radcliffe,North West,
Bernardette,F,Connor,Running,Sports,Sports,Bedworth,West Midlands,
Bernhard,F,Glen,Soccer,Ball Sports,Sports,Rutherglen,Scotland,
Bernice,F,Hood,Squash,Sports,Sports,Harpenden,East,
Berry,F,Nicolson,Swimming,Water Sports,Sports,Beverley,Yorkshire Humber,
Bert,F,Rutherford,Tai Chi,Martial Arts,Sports,Pontypridd,Wales,
Bertha,F,Carroll,Tennis,Ball Sports,Sports,Aberdare,Wales,
Bertie,F,Easton,Triathlon,Biking,Sports,Winsford,North West,
Bertram,F,Finlayson,Ultimate Frisbee,Sports,Sports,Nelson,North West,
Bertrand,F,Fitzpatrick,Weightlifting,Fitness,Sports,Yate,South West,
Berty,F,Howie,Wrestling,Combat Sports,Sports,Witney,South East,
Berwyn,F,Reynolds,Yoga,Fitness,Sports,Wishaw,Scotland,
Beryl,F,Fulton,Zumba,Fitness,Sports,East Grinstead,South East,
Bessey,F,Pirie,Writing,Writing,Writing,Pontefract,Yorkshire Humber,
Bessie,F,Farrell,Writing Music,Writing,Writing,Weybridge,South East,
Bessy,F,Lawrie,Writing Songs,Writing,Writing,Didcot,South East,
Beth,F,Mckinnon,,,,Heywood,North West,
Bethan,F,Middleton,,,,Northfleet,South East,
Bethanie,F,Sloan,,,,Morley,Yorkshire Humber,
Bethany,F,Melville,,,,Stratford-upon-Avon,West Midlands,
Bethel,F,Paul,,,,Totton,South East,
Bethia,F,Rose,,,,Ballymena,Northern Ireland,
Beti,F,Waddell,,,,Heswall,North West,
Betsey,F,Elliott,,,,Penarth,Wales,
Betsy,F,Irving,,,,Kendal,North West,
Bette,F,Mcdowall,,,,Cambuslang,Scotland,
Bettie,F,Chisholm,,,,Stanford-le-Hope,East,
Bettina,F,Dow,,,,Pontypool,Wales,
Bettine,F,Hepburn,,,,Hertford,East,
Betty,F,Colquhoun,,,,Shipley,Yorkshire Humber,
Beulah,F,Farquhar,,,,Ashford,South East,
Bevan,F,Ford,,,,Burntwood,West Midlands,
Beverley,F,Kidd,,,,Ashton-in-Makerfield,North West,
Beverly,F,Penman,,,,Kirkby-in-Ashfield,East Midlands,
Bevis,F,Byrne,,,,Colwyn Bay,Wales,
Bianca,F,Lewis,,,,Bearsden,Scotland,
Bibi,F,Manson,,,,Egham,South East,
Bilal,F,Ballantyne,,,,Newtownards,Northern Ireland,
Bill,F,Bremner,,,,Ashington,North East,
Billie,F,Keenan,,,,Carrickfergus,Northern Ireland,
Billy,F,Cullen,,,,Farnworth,North West,
Birkett,F,Frew,,,,Haverhill,East,
Birt,F,Mcconnell,,,,Stretford,North West,
Blackburn,F,Bryson,,,,Darwen,North West,
Blair,F,Nicoll,,,,Melton Mowbray,East Midlands,
Blake,F,Oliver,,,,Evesham,West Midlands,
Blanch,F,Chapman,,,,Frome,South West,
Blanche,F,Kirkwood,,,,Cramlington,North East,
Bleddyn,F,Mcneil,,,,Thetford,East,
Blodwen,F,Callaghan,,,,Bentley,Yorkshire Humber,
Boaz,F,Crichton,,,,Ditton,South East,
Bob,F,Lees,,,,Farnham,South East,
Bobbie,F,Macaulay,,,,Stalybridge,North West,
Bobby,F,Mooney,,,,Ferndown,South West,
Bohdan,F,Davis,,,,Newton Abbot,South West,
Bold,F,Mccafferty,,,,Peterlee,North East,
Bonita,F,Mccall,,,,Newry,Northern Ireland,
Bonnie,F,Muirhead,,,,Staines-upon-Thames,South East,
Booth,F,Beveridge,,,,Bushey,East,
Boris,F,Finlay,,,,Witham,East,
Boyce,F,Gemmell,,,,Newton Mearns,Scotland,
Boyd,F,Jeffrey,,,,Hedge End,South East,
Bracewell,F,Jenkins,,,,Heanor,East Midlands,
Brad,F,Lowe,,,,Clydebank,Scotland,
Bradley,F,Monaghan,,,,Portishead,South West,
Brain,F,Riddell,,,,Congleton,North West,
Bramley,F,Curran,,,,Kidsgrove,West Midlands,
Bramwell,F,Ellis,,,,Thatcham,South East,
Brandon,F,Foster,,,,Ormskirk,North West,
Brenda,F,Kemp,,,,Rhyl,Wales,
Brendan,F,Mckechnie,,,,Huntingdon,East,
Brenden,F,Angus,,,,Thornaby-on-Tees,North East,
Brendon,F,Barrie,,,,Newton Aycliffe,North East,
Brent,F,Edgar,,,,Newport,South East,
Brett,F,Laidlaw,,,,Maghull,North West,
Brian,F,Skinner,,,,St Austell,South West,
Brice,F,Carson,,,,Fleetwood,North West,
Bridget,F,Connell,,,,Corsett,North East,
Bridgett,F,Macinnes,,,,Plymstock,South West,
Bridie,F,Matheson,,,,Swinton,North West,
Brierley,F,Mccoll,,,,Oldbury,West Midlands,
Briggs,F,Mcmanus,,,,Market Harborough,East Midlands,
Bright,F,Fowler,,,,Bishop Auckland,North East,
Brigid,F,Hume,,,,Wednesfield,West Midlands,
Brinley,F,Daly,,,,Cheadle Hulme,North West,
Briony,F,Ewing,,,,Rickmansworth,East,
Brittany,F,Fyfe,,,,Stubbington,South East,
Brodie,F,Marr,,,,Horley,South East,
Brogan,F,Frame,,,,Skegness,East Midlands,
Bronwen,F,Macintyre,,,,Wombwell,Yorkshire Humber,
Bronwyn,F,Mackintosh,,,,Daventry,East Midlands,
Brook,F,Aitchison,,,,Ryde,South East,
Brooke,F,Barnes,,,,Elgin,Scotland,
Brooklyn,F,Elder,,,,Gorleston-on-Sea,East,
Brown,F,Galbraith,,,,Hindley,North West,
Bruce,F,Keith,,,,Coleraine,Northern Ireland,
Bruno,F,Mccartney,,,,Broadstairs,South East,
Bryan,F,Stark,,,,Windlesham,South East,
Bryce,F,Blyth,,,,Rugeley,West Midlands,
Bryn,F,Forrester,,,,Amersham,South East,
Brynley,F,Guthrie,,,,Felixstowe,East,
Brynmor,F,Rooney,,,,Golborne,North West,
Bryon,F,Small,,,,Droylsden,North West,
Bryony,F,Kirkpatrick,,,,Rawtenstall,North West,
Buckley,F,Connolly,,,,Blackwood,Wales,
Buddug,F,Flynn,,,,Westhoughton,North West,
Burnett,F,Macdougall,,,,Belper,East Midlands,
Burt,F,Prentice,,,,Burnham-on-Sea,South West,
Burton,F,Shand,,,,Falmouth,South West,
Bushra,F,Whitelaw,,,,Arbroath,Scotland,
Butler,F,Wilkinson,,,,Droitwich Spa,West Midlands,
Byron,F,Cox,,,,Newton-le-Willows,North West,
Cadwalader,F,Fletcher,,,,Chesham,South East,
Cadwaladr,F,Mcfadyen,,,,Whitehaven,North West,
Caesar,F,Neill,,,,Bishopbriggs,Scotland,
Cain,F,Ogilvie,,,,Potters Bar,East,
Caitlin,F,Rafferty,,,,Seaford,South East,
Caitlyn,F,Thom,,,,Sudbury,East,
Caleb,F,Cuthbert,,,,Godalming,South East,
Callan,F,Dunbar,,,,Reigate,South East,
Callie,F,Duthie,,,,Formby,North West,
Callum,F,Walsh,,,,Antrim,Northern Ireland,
Calum,F,Burke,,,,Alfreton,East Midlands,
Calvert,F,Gow,,,,Coseley,West Midlands,
Calvin,F,Kilpatrick,,,,Royton,North West,
Cameron,F,Mcnab,,,,Retford,East Midlands,
Camilla,F,Mcqueen,,,,Clifton,East Midlands,
Camille,F,Peacock,,,,Caterham,South East,
Campbell,F,Elliot,,,,Bathgate,Scotland,
Candice,F,Jardine,,,,Bingley,Yorkshire Humber,
Captain,F,Kyle,,,,Gainsborough,East Midlands,
Cara,F,Shanks,,,,Buxton,East Midlands,
Caradoc,F,Lyon,,,,Chapeltown,Yorkshire Humber,
Caradog,F,Mcdermott,,,,Seaham,North East,
Caren,F,Somerville,,,,Renfrew,Scotland,
Carey,F,Arthur,,,,Swanscombe,South East,
Carina,F,Cockburn,,,,Ingleby Barwick,North East,
Carl,F,Goldie,,,,Workington,North West,
Carla,F,Meikle,,,,Holmfirth,Yorkshire Humber,
Carley,F,Dickie,,,,Goole,Yorkshire Humber,
Carlie,F,Doig,,,,Truro,South West,
Carlo,F,Ohara,,,,Hailsham,South East,
Carlos,F,Barbour,,,,Camborne,South West,
Carlotta,F,Mccluskey,,,,Newquay,South West,
Carlton,F,Roy,,,,Crowborough,South East,
Carly,F,Waugh,,,,Ossett,Yorkshire Humber,
Carmel,F,Mcalpine,,,,Normanton,Yorkshire Humber,
Carmela,F,Mchugh,,,,Maldon,East,
Carmen,F,Robson,,,,South Ockenden,East,
Carol,F,Borthwick,,,,Stanley,North East,
Carole,F,Fox,,,,March,East,
Carolina,F,Nimmo,,,,Kenilworth,West Midlands,
Caroline,F,Lockhart,,,,Gatley,North West,
Carolyn,F,Maciver,,,,Berkhamsted,East,
Carolyne,F,Mann,,,,Walkden,North West,
Carolynne,F,Mcgrath,,,,Kirkintilloch,Scotland,
Caron,F,Meldrum,,,,Ampthill,East,
Carrie,F,Allen,,,,Stowmarket,East,
Carrol,F,Cannon,,,,Dereham,East,
Carroll,F,Carruthers,,,,Kempston,East,
Carron,F,Coull,,,,,,
Carry,F,Cuthbertson,,,,,,
Carter,F,Palmer,,,,,,
Cary,F,Semple,,,,,,
Caryl,F,Wishart,,,,,,
Carys,F,Andrew,,,,,,
Casey,F,Balfour,,,,,,
Casper,F,Berry,,,,,,
Cassandra,F,Finnie,,,,,,
Cassie,F,Malone,,,,,,
Catharina,F,Wyllie,,,,,,
Catharine,F,Cairney,,,,,,
Catherina,F,Cormack,,,,,,
Catherine,F,Gorman,,,,,,
Cathleen,F,Horne,,,,,,
Cathrine,F,Mcdade,,,,,,
Cathryn,F,Mcnicol,,,,,,
Cathy,F,Mcphail,,,,,,
Catrin,F,Napier,,,,,,
Catrina,F,Pringle,,,,,,
Catriona,F,Ramage,,,,,,
Cavan,F,Slater,,,,,,
Cecelia,F,West,,,,,,
Cecil,F,Binnie,,,,,,
Cecile,F,Brand,,,,,,
